report_id,created_at,user_id,name,phone,province,lat,lng,text_content,image_label,text_label,urgency_score,network_mode,sync_status
41eb92cb-3466-4ab6-8d09-730f934e7dbd,2026-05-20T12:57:00+00:00,b2616b10-2b55-45f7-868b-048eb701667e,Nguyen Van An,0339345092,Ha Tinh,18.359489,105.887468,"Gia dinh toi da on dinh, khong can ho tro them.",none,safe_update,0.1458,full,synced
3f6a9741-03ec-4c0c-8c89-6a6918e0970d,2026-05-20T15:17:00+00:00,f6ac352c-9772-421c-b3a2-c68d9602486c,Nguyen Van An,0931429110,Ha Tinh,18.359711,105.883214,Gia dinh toi da di chuyen len cao hon.,low,need_supplies,0.3035,full,pending
0d842149-1955-4513-b109-da2b178b181e,2026-05-20T13:57:00+00:00,4beae003-cb9b-49de-b2ee-e658e5b03977,Vo Minh Khoa,0915831819,Ha Tinh,18.354318,105.882858,Vung nay co nuoc ngap nhung chua qua nghiem trong.,low,need_supplies,0.38,full,synced
b4d355e2-2a5e-4d1d-bedb-2d72a1aa702b,2026-05-20T14:07:00+00:00,9f8c1c21-72f9-4220-a773-85187270f32a,Dang Ngoc Anh,0735808537,Ha Tinh,18.354108,105.882077,Xin cung cap thuc pham va nuoc sach cho khu vuc nay.,medium,safe_update,0.4228,full,pending
184e0080-8abf-4e76-9d33-ad2b23ea2fa2,2026-05-20T13:45:00+00:00,0e1e6e0b-39cb-4751-95d3-8957a255067e,Bui Thi Mai,0858966946,Ha Tinh,18.362266,105.887137,"Cuu voi! Nuoc vao toi mai nha, can nguoi den ngay.",high,urgent_rescue,0.6155,full,synced
909d3268-4984-434b-af86-0710483e32ff,2026-05-20T15:30:00+00:00,058436d6-ee3f-4338-9b2b-cf74f9514189,Pham Thu Ha,0472043515,Ha Tinh,18.361828,105.885271,Gia dinh toi da di chuyen len cao hon.,low,need_supplies,0.4552,metadata,synced
e5b127b2-1e08-4b87-b83a-f99482a930f8,2026-05-20T14:53:00+00:00,d6860c88-0a9a-416d-918b-888a877d4ec6,Nguyen Van An,0952339391,Ha Tinh,18.355375,105.882357,Xin cung cap thuc pham va nuoc sach cho khu vuc nay.,medium,urgent_rescue,0.6086,full,synced
2a2976d2-8359-4303-bf32-21ad80184fb0,2026-05-20T14:56:00+00:00,26902a3a-8ad0-40b9-bca4-8e341372ee90,Bui Thi Mai,0445551614,Ha Tinh,18.361286,105.882271,"Nha dang bi ngap mot phan, can ho tro di chuyen.",medium,need_supplies,0.5744,metadata,synced
8192f56d-1469-49cd-b7c6-140b0c79228f,2026-05-20T15:00:00+00:00,b801cf06-3df9-4e20-a283-b38c97bf1298,Le Hoang Nam,0776238574,Ha Tinh,18.357255,105.88469,"Duong vao con bi ngap nhe, hien tai van an toan.",low,irrelevant,0.4172,full,pending
e9cc572a-8d45-46ab-829b-8506ac76475c,2026-05-20T15:11:00+00:00,3a53a138-a42e-4acb-88a5-d56472e54f94,Bui Thi Mai,0743744231,Ha Tinh,18.354838,105.885563,Vung nay co nuoc ngap nhung chua qua nghiem trong.,low,need_supplies,0.5303,metadata,pending
